instance_id,date_created,status
1,2019-01-01,sold
2,2019-01-01,sold
3,2019-01-01,sold
4,2019-01-02,sold
5,2019-01-02,sold
6,2019-01-02,sold
7,2019-01-03,sold
8,2019-01-03,sold
9,2019-01-03,sold
10,2019-01-04,sold
11,2019-01-04,sold
12,2019-01-04,sold
13,2019-01-05,sold
14,2019-01-05,sold
15,2019-01-05,sold
16,2019-01-06,sold
17,2019-01-06,sold
18,2019-01-06,sold
19,2019-01-07,sold
20,2019-01-07,sold
21,2019-01-07,sold
22,2019-01-08,sold
23,2019-01-08,sold
24,2019-01-08,sold
25,2019-01-09,sold
26,2019-01-09,sold
27,2019-01-09,sold
28,2019-01-10,sold
29,2019-01-10,sold
30,2019-01-10,sold
31,2019-01-11,sold
32,2019-01-11,sold
33,2019-01-11,sold
34,2019-01-12,defective
35,2019-01-12,sold
36,2019-01-12,sold
37,2019-01-13,sold
38,2019-01-13,sold
39,2019-01-13,sold
40,2019-01-14,sold
41,2019-01-14,sold
42,2019-01-14,sold
43,2019-01-15,sold
44,2019-01-15,sold
45,2019-01-15,defective
46,2019-01-16,sold
47,2019-01-16,sold
48,2019-01-16,sold
49,2019-01-17,sold
50,2019-01-17,sold
51,2019-01-17,sold
52,2019-01-18,sold
53,2019-01-18,sold
54,2019-01-18,sold
55,2019-01-19,sold
56,2019-01-19,sold
57,2019-01-19,sold
58,2019-01-20,sold
59,2019-01-20,sold
60,2019-01-20,sold
61,2019-01-21,sold
62,2019-01-21,sold
63,2019-01-21,sold
64,2019-01-22,sold
65,2019-01-22,sold
66,2019-01-22,sold
67,2019-01-23,sold
68,2019-01-23,sold
69,2019-01-23,sold
70,2019-01-24,sold
71,2019-01-24,sold
72,2019-01-24,sold
73,2019-01-25,sold
74,2019-01-25,sold
75,2019-01-25,sold
76,2019-01-26,sold
77,2019-01-26,sold
78,2019-01-26,sold
79,2019-01-27,sold
80,2019-01-27,sold
81,2019-01-27,sold
82,2019-01-28,sold
83,2019-01-28,sold
84,2019-01-28,sold
85,2019-01-29,sold
86,2019-01-29,sold
87,2019-01-29,sold
88,2019-01-30,sold
89,2019-01-30,sold
90,2019-01-30,sold
91,2019-01-31,sold
92,2019-01-31,sold
93,2019-01-31,sold
94,2019-02-01,sold
95,2019-02-01,sold
96,2019-02-01,sold
97,2019-02-02,sold
98,2019-02-02,sold
99,2019-02-02,sold
100,2019-02-03,sold
101,2019-02-03,sold
102,2019-02-03,sold
103,2019-02-04,sold
104,2019-02-04,sold
105,2019-02-04,sold
106,2019-02-05,sold
107,2019-02-05,sold
108,2019-02-05,sold
109,2019-02-06,sold
110,2019-02-06,sold
111,2019-02-06,sold
112,2019-02-07,sold
113,2019-02-07,sold
114,2019-02-07,sold
115,2019-02-08,sold
116,2019-02-08,sold
117,2019-02-08,sold
118,2019-02-09,sold
119,2019-02-09,sold
120,2019-02-09,sold
121,2019-02-10,sold
122,2019-02-10,sold
123,2019-02-10,sold
124,2019-02-11,sold
